
                                       SUMMARY OF WATER BALANCE

                                                              CHANGE IN STORAGE
                               PRECIP          PLANT   ------------------------------  DEEP                     CUM.
 DAY HR  YR   PRECIP  SNOWMELT INTRCP    ET    TRANSP  CANOPY   SNOW  RESIDUE   SOIL   PERC   RUNOFF   PONDED    ET    ERROR
                 MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM      MM
  19 24 2020    0.00    0.00    0.00    0.22    0.00    0.00    0.00    0.00   -0.22   -0.00    0.00    0.00    49.7    0.00
  20 12 2020    0.00    0.00    0.00    0.05    0.00    0.00    0.00    0.00   -0.05   -0.00    0.00    0.00    49.8    0.00
  20 24 2020    0.00    0.00    0.00    0.29    0.00    0.00    0.00    0.00   -0.29   -0.00    0.00    0.00    50.1    0.00
  21 12 2020    0.00    0.00    0.00    0.03    0.00    0.00    0.00    0.00   -0.03   -0.00    0.00    0.00    50.1    0.00
  21 24 2020    0.00    0.00    0.00    0.25    0.00    0.00    0.00    0.00   -0.25   -0.00    0.00    0.00    50.3    0.00
  22 12 2020    0.00    0.00    0.00    0.02    0.00    0.00    0.00    0.00   -0.02   -0.00    0.00    0.00    50.4    0.00
  22 24 2020    0.00    0.00    0.00    0.27    0.00    0.00    0.00    0.00   -0.27   -0.00    0.00    0.00    50.6    0.00
  23 12 2020    0.00    0.00    0.00    0.09    0.00    0.00    0.00    0.00   -0.09   -0.00    0.00    0.00    50.7    0.00
  23 24 2020    0.00    0.00    0.00    0.34    0.00    0.00    0.00    0.00   -0.34   -0.00    0.00    0.00    51.1    0.00
  24 12 2020    0.00    0.00    0.00    0.07    0.00    0.00    0.00    0.00   -0.07   -0.00    0.00    0.00    51.1    0.00
  24 24 2020    0.00    0.00    0.00    0.18    0.00    0.00    0.00    0.00   -0.18   -0.00    0.00    0.00    51.3    0.00
  25 12 2020    0.00    0.00    0.00    0.03    0.00    0.00    0.00    0.00   -0.03   -0.00    0.00    0.00    51.4    0.00
  25 24 2020    0.00    0.00    0.00    0.17    0.00    0.00    0.00    0.00   -0.17   -0.00    0.00    0.00    51.5    0.00
  26 12 2020    0.00    0.00    0.00    0.29    0.00    0.00    0.00    0.00   -0.29   -0.00    0.00    0.00    51.8    0.00
  26 24 2020    0.00    0.00    0.00    0.71    0.00    0.00    0.00    0.00   -0.71   -0.00    0.00    0.00    52.5    0.00
  27 12 2020    0.00    0.00    0.00    0.17    0.00    0.00    0.00    0.00   -0.17   -0.00    0.00    0.00    52.7    0.00
  27 24 2020    0.00    0.00    0.00    0.59    0.00    0.00    0.00    0.00   -0.59   -0.00    0.00    0.00    53.3    0.00
  28 12 2020    0.00    0.00    0.00    0.31    0.00    0.00    0.00    0.00   -0.31   -0.00    0.00    0.00    53.6    0.00
  28 24 2020    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00   -1.00   -0.00    0.00    0.00    54.6    0.00
  29 12 2020    0.00    0.00    0.00    0.10    0.00    0.00    0.00    0.00   -0.10   -0.00    0.00    0.00    54.7    0.00
  29 24 2020    0.00    0.00    0.00    0.65    0.00    0.00    0.00    0.00   -0.65   -0.00    0.00    0.00    55.3    0.00
  30 12 2020    0.00    0.00    0.00    0.13    0.00    0.00    0.00    0.00   -0.13   -0.00    0.00    0.00    55.5    0.00
  30 24 2020    0.00    0.00    0.00    0.85    0.00    0.00    0.00    0.00   -0.85   -0.00    0.00    0.00    56.3    0.00
  31 12 2020    0.00    0.00    0.00    0.20    0.00    0.00    0.00    0.00   -0.20   -0.00    0.00    0.00    56.5    0.00
  31 24 2020    0.00    0.00    0.00    0.83    0.00    0.00    0.00    0.00   -0.83   -0.00    0.00    0.00    57.3    0.00
  32 12 2020    0.00    0.00    0.00    0.46    0.00    0.00    0.00    0.00   -0.46   -0.00    0.00    0.00    57.8    0.00
  32 24 2020    0.00    0.00    0.00    0.88    0.00    0.00    0.00    0.00   -0.88   -0.00    0.00    0.00    58.7    0.00
